sample_idx,timestamp,C3,C4,Cz,Fz,label_int,label_str
0,0.0,-0.8496,-0.4997,0.0639,-1.7475,0,REST
1,0.00390625,5.0597,2.2675,5.8347,6.9595,0,REST
2,0.0078125,4.9798,3.4575,4.1352,4.9174,0,REST
3,0.01171875,12.6709,10.7328,5.8093,10.3235,0,REST
4,0.015625,9.5276,10.9902,14.0969,10.9098,0,REST
5,0.01953125,11.0248,9.327,11.012,11.0267,0,REST
6,0.0234375,15.4081,15.8568,11.506,12.9069,0,REST
7,0.02734375,10.9841,10.9688,11.4793,12.9662,0,REST
8,0.03125,14.1298,8.5966,10.6196,11.0286,0,REST
9,0.03515625,10.1721,9.0151,9.2867,10.0371,0,REST
10,0.0390625,3.5609,3.6823,7.8038,3.4281,0,REST
11,0.04296875,0.0722,5.2287,6.0732,3.0301,0,REST
12,0.046875,1.2351,-1.1735,-0.8081,-0.1751,0,REST
13,0.05078125,-0.7537,-4.414,-3.2468,-4.1941,0,REST
14,0.0546875,-9.4523,-7.3012,-5.3304,-7.2054,0,REST
15,0.05859375,-7.3913,-10.2191,-8.6112,-5.5445,0,REST
16,0.0625,-11.2486,-7.464,-11.7283,-12.5347,0,REST
17,0.06640625,-12.7931,-12.2831,-10.7332,-10.7672,0,REST
18,0.0703125,-11.5068,-14.9918,-15.5592,-12.8719,0,REST
19,0.07421875,-7.6152,-13.6608,-11.7734,-8.8024,0,REST
20,0.078125,-7.796,-9.3266,-12.0393,-9.2714,0,REST
21,0.08203125,-6.2689,-7.5597,-9.2658,-2.7735,0,REST
22,0.0859375,-8.0603,-8.022,-5.5775,1.024,0,REST
23,0.08984375,-0.7455,-2.5615,-0.851,-2.9613,0,REST
24,0.09375,-3.5338,0.1094,-0.9658,2.8209,0,REST
25,0.09765625,2.1693,0.5629,0.8487,4.765,0,REST
26,0.1015625,6.1066,4.2302,3.7568,6.2227,0,REST
27,0.10546875,5.4113,10.9886,7.1315,8.2944,0,REST
28,0.109375,11.3916,12.5611,5.0568,13.7854,0,REST
29,0.11328125,7.9947,12.0095,10.7368,10.6696,0,REST
30,0.1171875,7.71,14.1879,11.4035,11.3909,0,REST
31,0.12109375,10.6778,12.8665,9.5212,7.5574,0,REST
32,0.125,4.8619,7.003,9.2563,5.2088,0,REST
33,0.12890625,5.2842,7.4359,8.6843,4.3702,0,REST
34,0.1328125,3.6201,5.3029,2.3603,0.8652,0,REST
35,0.13671875,4.3717,3.7181,3.1667,0.7447,0,REST
36,0.140625,-3.3229,0.2815,1.6047,-3.1927,0,REST
37,0.14453125,-4.5946,-3.9541,-0.1764,-9.4348,0,REST
38,0.1484375,-5.7433,-3.624,-2.0724,-4.2732,0,REST
39,0.15234375,-4.7584,-10.3843,-5.0022,-10.4559,0,REST
40,0.15625,-9.7993,-7.1748,-5.0076,-6.1981,0,REST
41,0.16015625,-6.8363,-8.6897,-7.2706,-7.0623,0,REST
42,0.1640625,-7.0031,-7.8625,-6.8643,-6.7214,0,REST
43,0.16796875,-7.5532,-7.9224,-9.1105,-5.5655,0,REST
44,0.171875,-4.5255,-14.4762,-5.785,1.0264,0,REST
45,0.17578125,-5.8773,-12.0598,-4.9341,-2.8093,0,REST
46,0.1796875,-5.7566,-7.3005,-5.9873,-2.2664,0,REST
47,0.18359375,0.2697,-0.8277,-2.5287,1.4784,0,REST
48,0.1875,-2.4452,0.8103,-2.8145,2.0916,0,REST
49,0.19140625,0.5547,1.3244,0.8633,6.8974,0,REST
50,0.1953125,2.1842,3.6953,1.3101,8.2181,0,REST
51,0.19921875,0.8946,0.1605,2.387,8.8813,0,REST
52,0.203125,1.8376,5.4322,4.1255,7.9043,0,REST
53,0.20703125,6.9761,10.6713,2.5086,7.0261,0,REST
54,0.2109375,4.4693,9.1967,2.0647,6.1922,0,REST
55,0.21484375,3.8117,7.0589,4.5518,-0.3215,0,REST
56,0.21875,2.8921,5.5165,4.592,3.7775,0,REST
57,0.22265625,2.062,2.8053,4.4934,2.2026,0,REST
58,0.2265625,-0.7677,-1.6514,1.8138,-0.4632,0,REST
59,0.23046875,0.8567,2.6592,4.4133,-2.2196,0,REST
60,0.234375,0.3428,-1.7895,1.3568,-3.6628,0,REST
61,0.23828125,-3.0643,-1.9676,1.8874,0.9611,0,REST
62,0.2421875,-0.1997,-2.6198,4.1219,-3.6397,0,REST
63,0.24609375,-3.9768,-0.5251,1.2347,-2.0989,0,REST
64,0.25,-2.1053,-4.8855,1.4166,-2.4623,0,REST
65,0.25390625,1.1241,-6.0529,-0.3587,-6.6786,0,REST
66,0.2578125,-1.9481,-5.4152,-0.3959,-0.8336,0,REST
67,0.26171875,-4.1884,-8.9186,-0.5224,-6.9262,0,REST
68,0.265625,-8.564,-4.621,-3.922,-3.2295,0,REST
69,0.26953125,-1.0749,-5.9572,-4.3079,-1.9571,0,REST
70,0.2734375,-3.0378,0.2216,-2.3268,-2.845,0,REST
71,0.27734375,-4.3937,-2.9184,-2.4072,-1.5936,0,REST
72,0.28125,-4.8115,-0.8147,-0.4687,0.3354,0,REST
73,0.28515625,-6.1539,1.4605,-1.7068,0.6452,0,REST
74,0.2890625,-3.8074,0.6205,-2.8665,2.6635,0,REST
75,0.29296875,-6.1365,3.9807,-1.7063,0.1416,0,REST
76,0.296875,-3.724,5.3185,-5.9016,1.5649,0,REST
77,0.30078125,-2.2075,2.0122,-1.386,-0.4552,0,REST
78,0.3046875,-2.6901,5.0103,-1.012,0.6888,0,REST
79,0.30859375,1.1548,5.9512,-4.2354,3.0271,0,REST
80,0.3125,0.5149,4.3034,-2.0148,0.9939,0,REST
81,0.31640625,3.5542,5.3124,-0.9209,2.3078,0,REST
82,0.3203125,3.5232,6.7852,4.9593,7.0399,0,REST
83,0.32421875,1.0142,3.388,3.5661,2.1523,0,REST
84,0.328125,6.4988,-0.6453,2.5642,1.2413,0,REST
85,0.33203125,4.8809,-1.8773,6.4356,1.628,0,REST
86,0.3359375,8.0907,0.1622,8.4313,1.7906,0,REST
87,0.33984375,5.4344,3.91,6.5962,-0.079,0,REST
88,0.34375,5.1493,0.1833,7.5192,0.7986,0,REST
89,0.34765625,6.5839,-3.5106,7.8577,-0.2032,0,REST
90,0.3515625,6.2976,-1.6732,7.6389,-2.7953,0,REST
91,0.35546875,-3.0245,0.0217,6.2415,-1.9246,0,REST
92,0.359375,2.5463,-1.7924,4.0021,-4.1222,0,REST
93,0.36328125,-2.1126,-4.1416,3.0521,-3.609,0,REST
