sample_idx,timestamp,C3,C4,Cz,Fz,label_int,label_str
0,0.0,-0.0574,0.6334,0.3935,-0.2472,0,REST
1,0.00390625,1.2269,2.2422,1.6602,4.2461,0,REST
2,0.0078125,10.6215,7.0904,4.4921,8.018,0,REST
3,0.01171875,6.6388,9.6483,9.0069,6.929,0,REST
4,0.015625,13.308,10.4405,9.6491,13.8657,0,REST
5,0.01953125,8.3993,10.3851,15.0197,11.9917,0,REST
6,0.0234375,9.1009,10.6526,14.1373,10.4544,0,REST
7,0.02734375,7.3092,12.9681,11.5996,11.723,0,REST
8,0.03125,11.1336,14.4594,11.6504,11.5514,0,REST
9,0.03515625,11.0074,11.1253,11.7079,4.805,0,REST
10,0.0390625,3.7521,8.3764,9.113,2.214,0,REST
11,0.04296875,1.5896,1.4535,-0.3557,2.9667,0,REST
12,0.046875,-2.5671,1.1252,3.5339,-1.7443,0,REST
13,0.05078125,-0.8579,-2.5245,-3.2343,-5.3966,0,REST
14,0.0546875,-6.2134,-7.5131,-7.2053,-10.9608,0,REST
15,0.05859375,-8.9197,-9.1784,-8.4177,-9.8892,0,REST
16,0.0625,-12.5105,-10.4949,-11.5808,-12.031,0,REST
17,0.06640625,-12.9283,-12.2944,-10.5662,-11.3676,0,REST
18,0.0703125,-12.6682,-16.6512,-12.1391,-14.2416,0,REST
19,0.07421875,-11.4284,-13.2132,-13.2205,-8.356,0,REST
20,0.078125,-8.6642,-9.8863,-10.0194,-8.2935,0,REST
21,0.08203125,-8.496,-11.6526,-7.4118,-3.2624,0,REST
22,0.0859375,-6.5014,-6.5298,-6.7377,-2.9322,0,REST
23,0.08984375,-0.1391,-4.0903,-9.092,-2.1985,0,REST
24,0.09375,4.536,-0.2076,-4.063,7.2125,0,REST
25,0.09765625,3.0921,4.3378,2.4387,8.2121,0,REST
26,0.1015625,-0.8044,8.1148,5.585,7.7215,0,REST
27,0.10546875,9.0269,9.3147,6.7869,9.5888,0,REST
28,0.109375,9.6537,11.6367,4.9395,6.264,0,REST
29,0.11328125,6.7098,10.6828,6.661,14.6097,0,REST
30,0.1171875,10.9678,7.5142,12.4234,9.3157,0,REST
31,0.12109375,12.5199,11.287,10.3641,9.8593,0,REST
32,0.125,5.8834,12.9726,8.0392,8.7828,0,REST
33,0.12890625,5.9741,7.5919,6.6499,3.0607,0,REST
34,0.1328125,2.6813,8.4781,9.2882,4.6756,0,REST
35,0.13671875,1.9814,4.5511,2.6305,-2.2155,0,REST
36,0.140625,-1.0912,-0.5594,4.0569,-4.6297,0,REST
37,0.14453125,-5.6717,-1.9728,-3.6629,-5.5276,0,REST
38,0.1484375,-6.7335,-4.8704,-0.3738,-7.7997,0,REST
39,0.15234375,-5.3043,-9.1775,-8.5554,-7.5564,0,REST
40,0.15625,-6.4129,-12.4141,-9.9775,-9.8961,0,REST
41,0.16015625,-8.7471,-10.8946,-5.7433,-12.3756,0,REST
42,0.1640625,-4.5328,-10.7174,-6.9111,-7.3239,0,REST
43,0.16796875,-5.3755,-8.7175,-4.2396,-9.71,0,REST
44,0.171875,-4.829,-6.695,-4.9234,-5.0599,0,REST
45,0.17578125,-4.3799,-5.13,-9.0768,-5.7614,0,REST
46,0.1796875,-3.0812,-2.7621,-4.5137,-0.5699,0,REST
47,0.18359375,-2.9301,-2.5224,-5.1931,0.7461,0,REST
48,0.1875,0.4827,1.354,-0.6547,3.4929,0,REST
49,0.19140625,1.1759,3.3636,-0.0847,4.9637,0,REST
50,0.1953125,0.3909,7.16,1.5055,2.6733,0,REST
51,0.19921875,1.3117,9.6668,0.565,5.3613,0,REST
52,0.203125,4.9744,8.6242,2.4542,5.4709,0,REST
53,0.20703125,4.1753,8.6652,3.1644,8.3222,0,REST
54,0.2109375,4.995,7.3174,1.4706,5.7906,0,REST
55,0.21484375,4.7031,7.5722,5.6357,7.8816,0,REST
56,0.21875,3.7518,8.1662,6.0103,5.9688,0,REST
57,0.22265625,2.993,5.008,3.1874,3.9461,0,REST
58,0.2265625,2.3361,1.0706,1.9422,-0.5525,0,REST
59,0.23046875,5.4224,3.1826,4.7642,-0.9659,0,REST
60,0.234375,2.2002,0.6711,4.7302,0.5379,0,REST
61,0.23828125,3.0769,-1.5734,4.1171,-3.3686,0,REST
62,0.2421875,4.2952,-3.934,0.9117,-5.3065,0,REST
63,0.24609375,0.0426,-4.2828,3.9665,-1.8746,0,REST
64,0.25,-3.9999,-4.5994,5.3031,-1.4884,0,REST
65,0.25390625,-1.5141,-8.5826,0.5774,-4.1011,0,REST
66,0.2578125,-0.9598,-9.3898,-1.8927,-0.6727,0,REST
67,0.26171875,0.3582,-2.9412,-1.1254,-5.2239,0,REST
68,0.265625,-3.9546,-3.4387,-2.5732,-4.1631,0,REST
69,0.26953125,-2.7928,-5.0074,0.0901,0.4721,0,REST
70,0.2734375,-2.9591,0.101,-2.1201,-2.3638,0,REST
71,0.27734375,1.1126,-0.1236,-4.6675,2.3528,0,REST
72,0.28125,-5.0191,-0.7621,-0.7074,-2.1147,0,REST
73,0.28515625,-5.7353,2.0408,-3.141,-3.3351,0,REST
74,0.2890625,-5.6732,2.312,-6.034,-3.7661,0,REST
75,0.29296875,-5.7428,0.2438,-5.7728,0.9071,0,REST
76,0.296875,-3.5147,2.8497,-3.7871,3.6345,0,REST
77,0.30078125,-2.3463,6.0464,-5.721,2.6522,0,REST
78,0.3046875,-4.5386,5.2889,-2.6321,3.3954,0,REST
79,0.30859375,-4.9006,5.5413,1.522,1.6928,0,REST
80,0.3125,-0.6455,6.7821,-0.3643,5.0986,0,REST
81,0.31640625,5.9785,3.4805,3.8047,4.8331,0,REST
82,0.3203125,4.1968,4.7115,-1.3397,1.6477,0,REST
83,0.32421875,4.9572,5.1371,3.2143,5.4322,0,REST
84,0.328125,6.0326,2.2602,2.9766,3.6567,0,REST
85,0.33203125,7.8748,0.0337,7.4977,0.8136,0,REST
86,0.3359375,2.8615,-1.5476,8.6997,3.2227,0,REST
87,0.33984375,8.5454,3.7576,9.0522,1.0935,0,REST
88,0.34375,5.6792,-2.5262,9.3616,-2.0633,0,REST
89,0.34765625,5.9762,-0.3129,8.9312,-0.6825,0,REST
90,0.3515625,5.4438,-4.0436,5.3545,-2.6351,0,REST
91,0.35546875,-0.9463,-3.4756,2.1614,-5.4323,0,REST
92,0.359375,-0.1201,-3.2205,2.0276,-1.9163,0,REST
93,0.36328125,-2.3414,-3.6241,0.9456,-5.7421,0,REST
94,0.3671875,-3.9315,-6.4815,-2.2074,-6.5272,0,REST
95,0.37109375,-6.2334,-8.5643,-0.5017,-3.3697,0,REST
96,0.375,-8.1299,-1.5647,-4.9127,-4.065,0,REST
97,0.37890625,-7.4643,1.2103,-4.782,-0.5705,0,REST
98,0.3828125,-11.1189,-3.2467,-6.9218,-4.9352,0,REST
99,0.38671875,-9.8662,-1.7095,-11.2778,-2.186,0,REST
100,0.390625,-6.2905,1.0764,-10.6826,-1.8041,0,REST
101,0.39453125,-9.9054,1.6409,-11.1771,3.3493,0,REST
102,0.3984375,-7.7217,1.6446,-10.2812,6.2566,0,REST
103,0.40234375,1.8535,5.4472,-9.6033,5.0003,0,REST
104,0.40625,-4.0269,3.2949,-5.4311,7.2896,0,REST
105,0.41015625,1.9026,1.3934,-5.7855,8.5874,0,REST
106,0.4140625,6.6922,2.8747,-3.4489,8.5908,0,REST
107,0.41796875,7.2263,2.8676,2.3228,3.1292,0,REST
108,0.421875,9.9506,2.5579,7.3011,4.8845,0,REST
109,0.42578125,10.8511,1.9232,11.2828,6.8701,0,REST
110,0.4296875,9.8116,0.7519,8.6444,8.4914,0,REST
111,0.43359375,12.2558,3.2219,12.6581,1.9821,0,REST
112,0.4375,8.57,2.6955,10.1356,-2.4143,0,REST
113,0.44140625,8.6158,1.1516,11.4288,-0.5347,0,REST
114,0.4453125,6.2696,-1.4265,10.3915,-5.7474,0,REST
115,0.44921875,1.7623,-0.208,9.8754,-5.9034,0,REST
116,0.453125,-3.4614,-1.6441,6.985,-9.0273,0,REST
117,0.45703125,-1.838,-0.237,3.6392,-10.0809,0,REST
118,0.4609375,-5.3333,-3.2156,2.7539,-11.1766,0,REST
119,0.46484375,-6.1794,0.3723,-3.7503,-9.9621,0,REST
120,0.46875,-15.7513,-2.552,-4.1539,-8.6483,0,REST
121,0.47265625,-10.5362,-4.8785,-10.2749,-6.2878,0,REST
122,0.4765625,-14.263,-5.9454,-10.4065,-4.1121,0,REST
123,0.48046875,-14.0491,-8.2346,-9.7826,-1.6432,0,REST
124,0.484375,-12.5998,-6.3239,-12.3647,-0.0883,0,REST
125,0.48828125,-8.012,-5.3491,-12.8659,3.0163,0,REST
126,0.4921875,-5.1396,-3.5322,-15.3836,5.2801,0,REST
127,0.49609375,0.3075,-2.9439,-7.6007,7.2551,0,REST
128,0.5,-3.9999,2.4103,-5.7248,5.3586,0,REST
129,0.50390625,4.4763,-0.4883,-4.0528,13.7033,0,REST
130,0.5078125,3.1497,3.6553,1.5155,14.0942,0,REST
131,0.51171875,9.0951,8.5647,0.3704,9.0729,0,REST
132,0.515625,13.0321,3.2841,4.3064,7.0572,0,REST
133,0.51953125,11.3606,6.859,11.3366,6.9887,0,REST
134,0.5234375,14.372,9.2216,11.1295,1.4818,0,REST
135,0.52734375,10.529,6.4827,16.1099,1.2735,0,REST
136,0.53125,11.9006,6.2366,11.1288,-8.2696,0,REST
137,0.53515625,9.6465,5.3797,14.3391,-5.3318,0,REST
138,0.5390625,6.4301,-0.1306,9.3581,-9.3875,0,REST
139,0.54296875,3.2007,0.3433,7.8643,-13.79,0,REST
140,0.546875,-1.1714,0.6332,7.6453,-9.1898,0,REST
141,0.55078125,-5.1839,-3.8602,7.5762,-13.6288,0,REST
142,0.5546875,-6.4091,-1.4256,3.9149,-9.883,0,REST
143,0.55859375,-5.9797,-2.449,-0.8594,-9.6276,0,REST
144,0.5625,-11.0904,-8.6335,-5.3161,-6.9603,0,REST
145,0.56640625,-14.141,-8.1461,-7.7432,-9.4817,0,REST
146,0.5703125,-15.4391,-4.9136,-7.5889,-2.3917,0,REST
147,0.57421875,-10.6126,-12.0132,-6.1737,5.5377,0,REST
148,0.578125,-9.3383,-10.3804,-13.6418,4.486,0,REST
149,0.58203125,-7.5557,-9.2405,-10.4052,5.834,0,REST
150,0.5859375,-4.279,-6.9501,-9.3785,13.1565,0,REST
151,0.58984375,-1.5916,-6.2855,-8.9974,10.8245,0,REST
152,0.59375,0.8471,0.3034,-5.5626,13.9581,0,REST
153,0.59765625,5.7183,1.0415,-5.2011,12.1881,0,REST
