sample_idx,timestamp,C3,C4,Cz,Fz,label_int,label_str
0,41.87109375,4.3942,-2.6874,1.0162,0.3301,4,REST
1,41.875,-5.0427,3.7887,-2.9478,2.1537,4,REST
2,41.87890625,-7.7011,-0.7886,-2.4295,2.828,4,REST
3,41.8828125,0.9145,-0.6156,1.2165,-4.6414,4,REST
4,41.88671875,-0.1927,2.9851,-0.9883,0.005,4,REST
5,41.890625,0.9549,6.3769,-0.5587,-2.424,4,REST
6,41.89453125,-3.7826,1.625,-3.2486,1.8312,4,REST
7,41.8984375,-1.5429,-2.4784,-2.5323,-1.6602,4,REST
8,41.90234375,-1.4875,-1.8718,0.3115,2.3637,4,REST
9,41.90625,0.6438,-0.4568,-2.6338,-1.4477,4,REST
10,41.91015625,1.7034,0.4802,-1.5288,-1.4702,4,REST
11,41.9140625,1.1575,-3.0611,-2.6222,-1.0335,4,REST
12,41.91796875,2.224,-0.092,-1.3557,0.3666,4,REST
13,41.921875,7.8553,-0.832,-13.0464,10.7539,0,REST
14,41.92578125,6.585,-2.4373,-10.5084,8.7492,0,REST
15,41.9296875,13.3474,-0.9774,-10.2667,4.1938,0,REST
16,41.93359375,13.1384,-0.5092,-9.6049,5.746,0,REST
17,41.9375,14.2188,-3.1529,-3.2806,2.2114,0,REST
18,41.94140625,10.1337,-5.7457,-3.4399,0.5719,0,REST
19,41.9453125,6.1329,-5.0474,3.3982,-0.975,0,REST
20,41.94921875,6.2349,0.2938,6.6997,-4.1897,0,REST
21,41.953125,-0.0318,-3.3423,7.6841,-7.2507,0,REST
22,41.95703125,-1.6273,-1.8769,10.5822,-3.9411,0,REST
23,41.9609375,-6.9462,-4.3642,11.4718,-3.3826,0,REST
24,41.96484375,-10.4934,-1.4818,13.7188,-4.2083,0,REST
25,41.96875,-10.5272,-0.7906,10.7972,-5.3558,0,REST
26,41.97265625,-13.3324,-0.9265,11.299,-7.2843,0,REST
27,41.9765625,-13.171,2.0844,11.058,-3.7663,0,REST
28,41.98046875,-13.2446,2.7184,8.017,-3.1817,0,REST
29,41.984375,-12.5886,6.2296,4.1542,0.7503,0,REST
30,41.98828125,-12.8435,4.8444,1.8415,-1.2024,0,REST
31,41.9921875,-2.7305,3.1294,-1.3667,2.561,0,REST
32,41.99609375,-1.7545,2.0239,-1.2949,4.6177,0,REST
33,42.0,1.7576,5.2357,-8.0254,3.8537,0,REST
34,42.00390625,0.7485,3.8321,-10.6305,4.3901,0,REST
35,42.0078125,3.9828,1.8946,-14.043,2.9905,0,REST
36,42.01171875,6.7466,6.4317,-13.1745,5.4466,0,REST
37,42.015625,13.9267,1.6134,-14.1362,7.6498,0,REST
38,42.01953125,11.847,0.8632,-14.3582,4.0736,0,REST
39,42.0234375,12.3414,-1.0991,-12.145,5.1607,0,REST
40,42.02734375,13.0963,-1.4873,-9.6899,4.8906,0,REST
41,42.03125,14.0591,-1.5431,-3.263,1.6473,0,REST
42,42.03515625,13.9091,-2.3317,-0.1508,0.5244,0,REST
43,42.0390625,9.6483,-7.2866,1.2178,2.0898,0,REST
44,42.04296875,4.7686,-10.5616,5.3267,1.5386,0,REST
45,42.046875,0.1392,-9.928,8.9712,-0.14,0,REST
46,42.05078125,-5.7434,-4.4436,9.4585,-0.994,0,REST
47,42.0546875,-2.3176,-6.9083,14.5119,-4.5053,0,REST
48,42.05859375,-8.161,-0.5939,13.0011,-3.9314,0,REST
49,42.0625,-10.6306,-1.1346,10.4323,-5.9982,0,REST
50,42.06640625,-9.5484,-1.8853,12.1371,-3.1375,0,REST
51,42.0703125,-13.0595,3.6615,9.944,-2.6338,0,REST
52,42.07421875,-14.1141,3.4519,7.5147,-2.8509,0,REST
53,42.078125,-6.6155,2.4557,7.5819,0.1387,0,REST
54,42.08203125,-9.9991,5.1764,2.9277,-6.6567,0,REST
55,42.0859375,-5.8888,5.7682,1.317,-4.8951,0,REST
56,42.08984375,-3.4841,7.9112,-5.0169,0.6957,0,REST
57,42.09375,-0.527,5.564,-3.7408,-2.8185,0,REST
58,42.09765625,2.492,9.4871,-12.1386,-4.1338,0,REST
59,42.1015625,5.266,9.5882,-10.8833,-3.1861,0,REST
60,42.10546875,7.0036,5.7892,-11.1669,0.5329,0,REST
61,42.109375,7.6219,3.8469,-11.7511,1.313,0,REST
62,42.11328125,12.3717,0.302,-8.5016,2.1359,0,REST
63,42.1171875,9.2927,-3.5725,-7.8496,1.1929,0,REST
64,42.12109375,7.9427,-7.772,-6.3945,4.3661,0,REST
65,42.125,9.5125,-5.0373,-2.897,4.0858,0,REST
66,42.12890625,4.4263,-10.6165,-6.262,4.1774,0,REST
67,42.1328125,4.6432,-11.5478,2.4316,7.6183,0,REST
68,42.13671875,4.1538,-7.0626,2.974,3.5599,0,REST
69,42.140625,2.0636,-10.9023,1.6573,5.0402,0,REST
70,42.14453125,-2.4577,-10.8737,4.9686,6.7114,0,REST
71,42.1484375,-2.0434,-8.3927,7.4655,-2.0643,0,REST
72,42.15234375,-7.1255,-5.5151,6.0743,2.4485,0,REST
73,42.15625,-4.2804,-5.0765,8.1304,-0.3708,0,REST
74,42.16015625,-6.6827,-1.1145,8.2372,-6.9552,0,REST
75,42.1640625,-5.4166,-0.8072,5.275,-3.8902,0,REST
76,42.16796875,-6.8556,2.8136,6.9055,-7.9307,0,REST
77,42.171875,-6.0497,4.4117,0.9937,-5.4926,0,REST
78,42.17578125,-2.1961,10.8478,4.915,-7.3206,0,REST
79,42.1796875,-1.3292,10.3077,4.3105,-10.0414,0,REST
80,42.18359375,-4.4295,9.3605,-2.2546,-5.2744,0,REST
81,42.1875,-0.4015,11.6748,-4.3847,-7.9205,0,REST
82,42.19140625,-2.5891,8.3153,-2.2489,-4.6881,0,REST
83,42.1953125,0.3208,8.9297,-3.5227,-1.6283,0,REST
84,42.19921875,1.393,11.2978,-4.445,0.6755,0,REST
85,42.203125,-0.0375,6.3587,-3.0066,4.3907,0,REST
86,42.20703125,5.9097,1.39,-5.6813,5.7906,0,REST
87,42.2109375,4.2706,1.2815,-5.2434,3.4784,0,REST
88,42.21484375,0.1989,-3.7355,-9.3607,14.6124,0,REST
89,42.21875,6.3019,-6.9781,-1.7018,9.3335,0,REST
90,42.22265625,3.3058,-4.8717,2.0465,9.671,0,REST
91,42.2265625,1.3468,-9.596,-3.8476,7.7524,0,REST
92,42.23046875,2.8969,-12.5665,-0.398,6.5052,0,REST
93,42.234375,1.6832,-14.146,2.6391,9.8763,0,REST
94,42.23828125,-1.1544,-12.9925,0.1937,5.3357,0,REST
95,42.2421875,-1.0746,-10.0853,2.4865,-2.9612,0,REST
96,42.24609375,-3.3107,-6.9916,-1.138,-0.4067,0,REST
97,42.25,1.3403,-3.5848,3.8806,-4.3483,0,REST
98,42.25390625,-1.8997,-4.5988,1.1931,-2.6764,0,REST
99,42.2578125,-3.6031,0.6809,2.3624,-9.9922,0,REST
100,42.26171875,1.4181,1.0906,-0.0808,-12.9738,0,REST
101,42.265625,-1.855,6.9893,1.7325,-11.2428,0,REST
102,42.26953125,1.866,11.3876,5.528,-9.9425,0,REST
103,42.2734375,-3.7915,8.3986,-1.3701,-13.0236,0,REST
104,42.27734375,1.6686,10.9475,0.8901,-12.2399,0,REST
105,42.28125,-6.8523,12.6415,4.639,-5.6328,0,REST
106,42.28515625,-5.0843,11.7599,3.7407,-0.5415,0,REST
107,42.2890625,-3.653,11.5298,5.2718,-2.2607,0,REST
108,42.29296875,-2.1688,8.9379,4.3891,1.5281,0,REST
109,42.296875,-0.2801,5.899,4.3106,6.1733,0,REST
110,42.30078125,-5.312,2.8949,3.2165,8.4456,0,REST
111,42.3046875,2.2616,-0.0982,1.3801,7.7299,0,REST
112,42.30859375,-1.2973,-4.9221,1.7228,10.6665,0,REST
113,42.3125,2.7142,-6.2842,1.5687,12.9052,0,REST
114,42.31640625,2.3074,-10.5659,-2.4141,14.4361,0,REST
115,42.3203125,3.4057,-12.784,-1.9431,15.5846,0,REST
116,42.32421875,5.2758,-14.4725,-5.348,7.1314,0,REST
117,42.328125,8.4591,-12.5571,-8.2096,7.2117,0,REST
118,42.33203125,7.7765,-10.8416,-6.6108,3.3678,0,REST
119,42.3359375,8.1992,-11.4164,-4.402,-2.6135,0,REST
120,42.33984375,9.7116,-10.7525,-8.2318,-6.8808,0,REST
121,42.34375,10.3201,-8.1428,-3.0686,-10.5425,0,REST
122,42.34765625,5.0357,-2.9624,0.0459,-12.1101,0,REST
123,42.3515625,5.4546,0.2177,-3.6616,-11.5151,0,REST
124,42.35546875,2.2633,5.5731,2.4707,-15.1718,0,REST
125,42.359375,0.4127,8.7615,4.3445,-10.4711,0,REST
126,42.36328125,-2.3959,10.889,2.6647,-13.189,0,REST
127,42.3671875,-3.7262,8.132,1.6952,-12.8068,0,REST
128,42.37109375,-6.627,12.3649,4.753,-9.9616,0,REST
129,42.375,-10.9765,11.284,9.2805,-2.7891,0,REST
130,42.37890625,-10.8536,10.5052,10.3578,-0.3258,0,REST
131,42.3828125,-8.9133,8.591,11.994,4.5746,0,REST
132,42.38671875,-10.0869,11.3825,7.4235,9.164,0,REST
133,42.390625,-8.5611,3.4513,10.9264,11.4864,0,REST
134,42.39453125,-8.3997,5.8631,7.9153,9.5991,0,REST
135,42.3984375,-5.4433,-4.5003,2.8313,13.6109,0,REST
136,42.40234375,-2.4338,-3.6141,-0.763,13.6613,0,REST
137,42.40625,-0.2491,-5.925,0.1965,9.1401,0,REST
138,42.41015625,2.8281,-9.1409,-4.7449,10.4452,0,REST
139,42.4140625,5.0851,-10.2741,-3.562,9.1797,0,REST
140,42.41796875,6.2459,-12.8503,-6.3471,8.5898,0,REST
141,42.421875,9.9913,-13.7546,-12.9351,2.6758,0,REST
142,42.42578125,10.5168,-10.8744,-8.2756,0.6297,0,REST
143,42.4296875,10.7879,-7.4931,-16.293,-6.4735,0,REST
144,42.43359375,12.7937,-8.0448,-9.2784,-7.327,0,REST
145,42.4375,10.2581,-5.891,-13.7655,-8.3818,0,REST
146,42.44140625,8.6978,-2.0439,-12.2185,-8.9004,0,REST
147,42.4453125,7.2316,1.3864,-4.5354,-14.707,0,REST
148,42.44921875,3.2967,2.0011,-4.1973,-12.6118,0,REST
149,42.453125,-0.3666,6.5255,0.1764,-14.3173,0,REST
150,42.45703125,0.7688,11.8457,4.7482,-8.4419,0,REST
