sample_idx,timestamp,C3,C4,Cz,Fz,label_int,label_str
0,0.0,0.9871,0.8045,1.655,0.295,0,REST
1,0.00390625,0.3274,3.0731,-1.24,2.4915,0,REST
2,0.0078125,5.4427,4.2083,8.2967,3.8661,0,REST
3,0.01171875,7.3799,4.7694,10.0059,7.5781,0,REST
4,0.015625,10.9223,8.941,10.4898,11.0724,0,REST
5,0.01953125,15.1073,15.7319,12.875,14.5444,0,REST
6,0.0234375,12.3064,11.9177,12.7033,17.6184,0,REST
7,0.02734375,10.6746,14.3917,14.1574,10.7135,0,REST
8,0.03125,10.7073,13.3143,11.3472,10.4472,0,REST
9,0.03515625,7.0928,7.2571,10.0883,8.9935,0,REST
10,0.0390625,7.2785,7.5417,7.6948,5.9917,0,REST
11,0.04296875,-0.9368,4.6706,2.8188,3.0866,0,REST
12,0.046875,-2.6849,1.8146,0.1644,1.196,0,REST
13,0.05078125,-6.6008,-6.6801,-4.2799,-7.0,0,REST
14,0.0546875,-4.2081,-9.8342,-3.1263,-5.3764,0,REST
15,0.05859375,-5.7234,-7.6807,-2.6107,-8.4964,0,REST
16,0.0625,-7.166,-13.5227,-10.3459,-8.3732,0,REST
17,0.06640625,-12.6036,-17.9507,-12.9705,-10.6489,0,REST
18,0.0703125,-16.2247,-12.5391,-11.9372,-14.5923,0,REST
19,0.07421875,-10.2591,-15.1593,-15.3199,-10.4806,0,REST
20,0.078125,-7.1275,-6.9736,-6.0207,-8.6731,0,REST
21,0.08203125,-7.226,-7.4873,-8.3526,-7.3895,0,REST
22,0.0859375,-5.9263,-8.3005,-7.9317,-2.1816,0,REST
23,0.08984375,-5.7813,-0.2492,-5.6261,1.0824,0,REST
24,0.09375,0.0818,0.2289,1.8484,10.0992,0,REST
25,0.09765625,2.3447,4.9576,-0.3521,6.1447,0,REST
26,0.1015625,3.6128,6.8714,7.2785,8.0315,0,REST
27,0.10546875,8.9374,8.5406,9.474,14.0795,0,REST
28,0.109375,7.9982,9.6527,10.3051,10.4675,0,REST
29,0.11328125,13.8698,8.4148,7.248,8.9059,0,REST
30,0.1171875,10.254,9.183,8.1412,10.0867,0,REST
31,0.12109375,11.9575,13.6589,11.3505,8.011,0,REST
32,0.125,9.539,10.3887,7.5366,8.807,0,REST
33,0.12890625,6.6867,10.4355,9.0278,2.4768,0,REST
34,0.1328125,3.4416,5.7364,11.9692,4.9368,0,REST
35,0.13671875,0.8401,4.5791,3.2964,-1.2965,0,REST
36,0.140625,0.4512,1.2395,-0.7083,-4.096,0,REST
37,0.14453125,-1.6859,-4.0856,-0.1784,-8.6828,0,REST
38,0.1484375,-3.2909,-6.6573,-5.7902,-5.5211,0,REST
39,0.15234375,-5.075,-8.7337,-4.4856,-8.2235,0,REST
40,0.15625,-4.0861,-7.0297,-4.5433,-12.4039,0,REST
41,0.16015625,-7.0191,-10.7259,-8.1936,-5.4441,0,REST
